year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.49979735294482536,0.0008217165127677588,0.499380930542407
1981,0.4871457992740469,0.0005604981949607618,0.5122937025309924
1982,0.47567381740109027,0.0003572795636044478,0.5239689030353053
1983,0.4653611132103671,0.0002064546158795571,0.5344324321737534
1984,0.45616900649552894,0.00010189130878017575,0.5437291021956908
1985,0.44804473179069615,3.721199695380957e-05,0.5519180562123499
1986,0.44092559923316826,6.037157995934859e-06,0.5590683636088358
1987,0.4347427872891917,2.1853938086898205e-06,0.5652550273169996
1988,0.4294246200786077,1.9827920565883215e-05,0.5705555520008263
1989,0.424899256363453,5.3599518517284623e-05,0.5750471441180298
1990,0.4210967823584024,9.867042026833947e-05,0.5788045472213291
1991,0.41795074102910473,0.00015078506764094413,0.5818984739032543
1992,0.41539915651865117,0.00020627400836854302,0.5843945694729803
1993,0.41338513182450354,0.000262045052315116,0.5863528231231813
1994,0.41185709560353195,0.0003155592836258006,0.5878273451128422
1995,0.4107687791517822,0.0003647964215569505,0.5888664244266608
1996,0.4100789886715181,0.00040821357919402086,0.5895127977492878
1997,0.40975123630702165,0.0004447001834053066,0.5898040635095729
1998,0.40975327906392833,0.00047353141496144196,0.5897731895211102
1999,0.410056608796762,0.0004943216873019689,0.5894490695159361
2000,0.4106359222484989,0.0005069794338412427,0.5888570983176599
2001,0.41146859963765114,0.0005116636964159507,0.588019736665933
2002,0.4125342077464359,0.0005087432785105014,0.5869570489750537
2003,0.41381404202424943,0.0004987585064118763,0.5856871994693387
2004,0.41529071445814475,0.00048238584143057105,0.5842268997004246
2005,0.4169477959131735,0.00046040538118702774,0.5825917987056395
2006,0.41876951049584177,0.00043367128532540377,0.5807968182188329
2007,0.4207404870122152,0.0004030850358322052,0.5788564279519527
2008,0.4228455617445042,0.00036957155425237405,0.5767848667012434
2009,0.4250696326770447,0.00033405809393982134,0.5745963092290155
2010,0.42739755882580327,0.00029745582660058075,0.5723049853475962
2011,0.42981410165426465,0.00026064407042057273,0.5699252542753149
2012,0.4323039024922023,0.0002244570501065121,0.5674716404576913
2013,0.43485149052344424,0.0001896730783058814,0.5649588363982498
2014,0.4374413166761207,0.00015700603139671385,0.5624016772924826
2015,0.44005780683009293,0.0001270990071891604,0.559815094162718
2016,0.4426854302752317,0.00010051993795620801,0.5572140497868122
2017,0.4453087781326059,7.775906654831162e-05,0.5546134628008458
2018,0.447912648356977,5.9228021268602916e-05,0.5520281236217544
2019,0.450482132126148,4.526035997727835e-05,0.5494726075138747
2020,0.4530027005425954,3.61133550877902e-05,0.5469611861023167
2021,0.4554602875043118,3.197084464737496e-05,0.5445077416510409
2022,0.457841367077951,3.294692463788091e-05,0.5421256859974111
2023,0.4601330255860697,3.909038059799061e-05,0.5398278840333323
2024,0.4623230248697979,5.0389595208386736e-05,0.5376265855349938
2025,0.4643998579351994,6.67778763290586e-05,0.5355333641884715
2026,0.46635279824733755,8.813900560369294e-05,0.5335590627470588
2027,0.4681719391770739,0.00011431293275081537,0.5317137478901753
2028,0.4698482278371562,0.000145101528809864,0.530006670634034
