year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.15332285793056727,0.0013775781550767552,0.845299563914356
1981,0.12674579713544662,0.0008410798766753242,0.872413122987878
1982,0.10334389931770943,0.00046469785322048073,0.8961914028290702
1983,0.08307991794025248,0.00022278280453460163,0.9166972992552129
1984,0.06582773109521176,8.908445600546465e-05,0.9340831844487827
1985,0.05139339307422664,3.823483918660735e-05,0.9485683720865867
1986,0.039536699908600974,4.689127682544071e-05,0.9604164088145736
1987,0.029991197142768315,9.451534733190148e-05,0.9699142875098997
1988,0.02248129609231011,0.00016381158656190157,0.977354892321128
1989,0.01673586869189058,0.00024087956840042492,0.983023251739709
1990,0.01249824204664561,0.00031514569547934563,0.987186612257875
1991,0.009532890306507145,0.0003791410249903189,0.9900879686685026
1992,0.007629327662865511,0.00042818372007279057,0.9919424886170616
1993,0.006603780982926571,0.000460012743604645,0.9929362062734689
1994,0.006299205247468045,0.00047440743700158166,0.9932263873155304
1995,0.0065841384888336825,0.00047281613895735504,0.992943045372209
1996,0.00735080507982856,0.00045800840678836556,0.9921911865133831
1997,0.008512783411766114,0.0004337580688963482,0.9910534585193376
1998,0.010002473292307357,0.0004045602587457279,0.9895929664489469
1999,0.011768525632744824,0.00037538204630974066,0.9878560923209454
2000,0.01377334639001759,0.00035144510831344245,0.985875208501669
2001,0.0159907423897123,0.0003380377997779305,0.9836712198105096
2002,0.018403748785703816,0.0003403539312980849,0.981255897282998
2003,0.021002658593649078,0.00036335595461704036,0.978633985451734
2004,0.02378325964619932,0.000411660346270129,0.9758050800075305
2005,0.026745278559069798,0.0004894437788557014,0.9727652776620745
2006,0.029891025802381437,0.0006003684885382428,0.9695086057090803
2007,0.033224232077120705,0.0007475263446394382,0.9660282415782397
2008,0.03674906713457124,0.0009334005331371342,0.9623175323322917
2009,0.040469331041178516,0.0011598444443190567,0.9583708245145024
2010,0.04438780692760861,0.0014280767657473617,0.954184116306644
2011,0.048505762367010326,0.0017386923818465787,0.9497555452511431
2012,0.05282259172088469,0.002091687818236361,0.9450857204608789
2013,0.05733558321575141,0.002486499924456876,0.9401779168597917
2014,0.06203980083562615,0.0029220567127717302,0.9350381424516021
2015,0.06692806621160599,0.0033968385709809527,0.929675095217413
2016,0.07199102779082017,0.003908948023361282,0.9241000241858185
2017,0.07721730120859609,0.004456186105240739,0.9183265126861632
2018,0.08259366979957425,0.005036133644654274,0.9123701965557715
2019,0.08810532760889507,0.005646235527413199,0.9062484368636917
2020,0.09373615489037251,0.006283885839536504,0.899979959270091
2021,0.0994690116473405,0.00694651239586147,0.893584475956798
2022,0.10528603794697793,0.007631659772828913,0.8870823022801932
2023,0.11116895245055528,0.008337068378082893,0.8804939791713617
2024,0.11709933886243622,0.009060750099891147,0.8738399110376726
2025,0.12305891463736544,0.009801058217155023,0.8671400271454796
2026,0.12902977603380517,0.010556752524191294,0.8604134714420036
2027,0.13499461591186404,0.011327058358071351,0.8536783257300646
2028,0.14093691062242847,0.012111720054195387,0.8469513693233761
2029,0.14684107585648443,0.012911048475488764,0.8402478756680268
