year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.09810847305835867,0.002154444902606362,0.8997370820390349
1981,0.07919012157081538,0.0013908002663637461,0.9194190781628209
1982,0.06281775817130558,0.000827774654882895,0.9363544671738115
1983,0.04887590928348119,0.00043616677360606905,0.9506879239429127
1984,0.037204726136742444,0.00018686821155474285,0.9626084056517029
1985,0.02761329112195697,5.201055731676696e-05,0.9723346983207263
1986,0.019892031745863754,5.82352291548354e-06,0.9801021447312207
1987,0.013823554391235941,2.5208117429092732e-05,0.9861512374913349
1988,0.009191537605980874,9.005379938499076e-05,0.9907184085946342
1989,0.005787593514971263,0.00018334282011390232,0.994029063664915
1990,0.0034162016432280435,0.0002910902412892527,0.9962927081154828
1991,0.001897940814749191,0.0004021665538562327,0.9976998926313946
1992,0.0010713047547751843,0.0005080444446886596,0.9984206508005361
1993,0.0007933995287203324,0.0006025036645394322,0.9986040968067402
1994,0.0009398025160528634,0.0006813201004422103,0.9983788773835048
1995,0.0014038282228000392,0.0007419578747235277,0.9978542139024764
1996,0.0020954026554409135,0.000783276879713074,0.997121320464846
1997,0.0029397060100675694,0.0008052635542531878,0.9962550304356792
1998,0.003875703597858003,0.0008087885906674798,0.9953155078114745
1999,0.004854651570771067,0.0007953929746870357,0.9943499554545419
2000,0.005838636915547413,0.0007671017624949232,0.9933942613219576
2001,0.0067991898417087086,0.0007262640878908056,0.9924745460704005
2002,0.007715990713231368,0.0006754172476219675,0.9916085920391466
2003,0.00857568187900435,0.0006171724739473815,0.9908071456470483
2004,0.009370788336739383,0.0005541201526206835,0.9900750915106399
2005,0.010098743119395933,0.000488752149339462,0.9894125047312646
2006,0.01076101364317112,0.0004233992874555803,0.9888155870693733
2007,0.011362320922565968,0.000360182324865786,0.9882774967525683
2008,0.011909943902801307,0.0003009747818397101,0.9877890813153589
2009,0.012413101615985304,0.0002473763481677874,0.987339522035847
2010,0.012882406110507241,0.00020069586783742177,0.9869168980216553
2011,0.013329378607655968,0.00016194275931154765,0.9865086786330325
2012,0.013766024574039004,0.0001318261702683186,0.9861021492556927
2013,0.014204461644637095,0.00011076102325916298,0.9856847773321038
2014,0.014656597022746062,9.888022739610824e-05,0.9852445227498579
2015,0.015133850184148777,9.605239916402778e-05,0.9847700974166872
2016,0.015646918441280834,0.00010190439157861421,0.9842511771671406
2017,0.016205581909147667,0.00011584792259167545,0.9836785701682607
2018,0.016818546254864904,0.00013710964910985702,0.9830443440960251
2019,0.017493320619467005,0.00016476397703458947,0.9823419154034985
2020,0.018236128447890017,0.00019776784335441124,0.9815661037087555
2021,0.01905184901350868,0.00023499687559477175,0.9807131541108967
2022,0.019943987935293565,0.00027528205453826107,0.9797807300101682
2023,0.020914673291874193,0.0003174464131925749,0.9787678802949332
2024,0.021964675925270908,0.0003603408925848418,0.9776749831821443
2025,0.02309345094717294,0.0004028789420869968,0.9765036701107401
2026,0.02429919760469092,0.00044406913070245174,0.9752567332646066
