year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.013738569448860405,0.0010480449989158107,0.9852133855522238
1981,0.010613935182790833,0.0006474518350455869,0.9887386129821636
1982,0.008175385434113653,0.0003681306406134645,0.991456483925273
1983,0.006305603953191529,0.0001853404090498753,0.9935090556377586
1984,0.004900354500007023,7.747865927933472e-05,0.9950221668407137
1985,0.0038684488689992823,2.5985787088579462e-05,0.9961055653439121
1986,0.00313131096256147,1.5175248977360513e-05,0.9968535137884612
1987,0.002622264137830256,3.2016616404408466e-05,0.9973457192457654
1988,0.0022856438845421712,6.589262454295224e-05,0.9976484634909148
1989,0.0020758154156879636,0.00010834607947463184,0.9978158385048375
1990,0.001956154821080041,0.00015282795940560747,0.9978910172195145
1991,0.0018980361593377802,0.0001944544997198624,0.9979075093409423
1992,0.0018798526923919034,0.00022977809981515146,0.997890369207793
1993,0.0018860907948544299,0.0002565749181854008,0.9978573342869602
1994,0.0019064665411817451,0.0002736503613270798,0.9978198830974913
1995,0.0019351300492224366,0.00028066272226568415,0.9977842072285119
1996,0.001969938453557599,0.00027796445526419555,0.9977520970911782
1997,0.0020117960296690014,0.00026646030494172687,0.9977217436653892
1998,0.0020640586486852346,0.0002474810393949901,0.9976884603119197
1999,0.0021319985848340358,0.0002226717853748899,0.9976453296297911
2000,0.0022223259605466746,0.0001938937039046247,0.9975837803355486
2001,0.0023427627289317856,0.0001631379638262207,0.997494099307242
2002,0.002501665415889166,0.00013245097376070718,0.9973658836103502
2003,0.0027076934952386385,0.00010387006130130586,0.99718843644346
2004,0.002969520164888412,7.936877151134779e-05,0.9969511110636002
2005,0.0032955829139629843,6.081101404370991e-05,0.9966436060719933
2006,0.0036938715804127773,4.991360205518601e-05,0.996256214817532
2007,0.004171751475872351,4.821644990090335e-05,0.9957800320742267
2008,0.004735819917404746,5.705997505357104e-05,0.9952071201075416
2009,0.005391793895628938,7.756920050316828e-05,0.9945306369038679
2010,0.006144427132277185,0.00011064402376125123,0.9937449288439616
2011,0.0069974545091372265,0.00015695516393067176,0.9928455903269322
2012,0.007953562181340393,0.0002169452902063773,0.9918294925284532
2013,0.009014380135793315,0.0002908347551431936,0.9906947851090635
2014,0.010180497091876324,0.0003786314935070329,0.9894408714146167
2015,0.01145149295925865,0.00048014436101493263,0.9880683626797263
2016,0.012825988317018954,0.0005949995877269288,0.9865790120952542
2017,0.01430170819247629,0.0007226595617172352,0.9849756322458064
2018,0.01587555637318077,0.0008624435617357663,0.9832620000650835
2019,0.017543700039769263,0.0010135496928427117,0.9814427502673881
2020,0.019301660320498848,0.0011750778467646068,0.9795232618327365
2021,0.02114440769823465,0.0013460527559034142,0.977509539545862
2022,0.023066460043733812,0.0015254470526812629,0.9754080929035849
2023,0.02506198014086471,0.001712203714518895,0.9732258161446163
2024,0.02712487286555063,0.00190525759227641,0.9709698695421729
2025,0.029248878192370466,0.0021035556494438286,0.9686475661581857
2026,0.03142766088127466,0.0023060757181342637,0.9662662634005912
2027,0.033654893323311647,0.002511843327732004,0.9638332633489565
2028,0.03592433210523987,0.0027199468011171015,0.961355721093643
2029,0.038229887395055895,0.0029295499815558327,0.9588405626233882
2030,0.040565683939516456,0.0031399029217571064,0.9562944131387264
2031,0.04292611302300748,0.003350350167692956,0.9537235368092996
2032,0.0453058766364352,0.0035603368341995977,0.9511337865293652
2033,0.047700021915243355,0.0037694122130387227,0.9485305658717179
2034,0.050103966914954785,0.003977231254505928,0.9459188018305392
2035,0.052513517670086156,0.004183553592425088,0.9433029287374887
2036,0.0549248768141877,0.004388240714733663,0.9406868824710787
2037,0.05733464359442142,0.004591250584837946,0.9380741058207407
2038,0.05973980676313858,0.004792630783011464,0.93546756245385
2039,0.06213772917769277,0.00499250936889773,0.9328697614534095
2040,0.06452612646747759,0.0051910843860375816,0.9302827891464848
2041,0.06690303861426947,0.005388611461579796,0.9277083499241507
2042,0.06926679635863253,0.005585390318362547,0.925147813323005
2043,0.07161598212099834,0.005781749872749252,0.9226022680062523
2044,0.07394938714914855,0.005978032427412192,0.9200725804234393
2045,0.07626596382935412,0.006174576932250376,0.9175594592383954
2046,0.0785647762740943,0.006371701883588717,0.915063521842317
2047,0.08084494770314062,0.0065696876620450345,0.9125853646348143
2048,0.08310560698839767,0.006768759086039684,0.9101256339255627
2049,0.08534583450130782,0.006969067731376669,0.9076850977673155
2050,0.08756460808328735,0.007170675314140826,0.9052647166025718
2051,0.08976074987898137,0.0073735373326007545,0.9028657127884179
2052,0.09193287619582738,0.007577488184147649,0.9004896356200249
2053,0.09407934890039615,0.00778222740652946,0.8981384236930744
2054,0.09619823192306827,0.00798730805675539,0.8958144600201763
2055,0.09828725176419546,0.00819212672171565,0.8935206215140888
2056,0.10034376415238337,0.008395916139577986,0.8912603197080387
2057,0.10236472684012984,0.00859774077146173,0.8890375323884083
2058,0.10434668112162408,0.00879649504957567,0.8868568238288004
2059,0.10628574003297327,0.008990905311615649,0.8847233546554111
2060,0.10817758792853306,0.009179535499020952,0.882642876572446
2061,0.1100174893531302,0.009360796772261424,0.8806217138746084
2062,0.1118003094316309,0.009532961904760127,0.878666728663609
2063,0.11352054711481466,0.009694184133528768,0.8767852687516566
2064,0.11517238139718793,0.009842521744130384,0.8749850968586816
2065,0.11674973324212135,0.0099759678472611,0.8732742989106176
2066,0.11824634164359385,0.010092486795357018,0.871661171561049
2067,0.11965585980506947,0.010190057017950204,0.8701540831769803
2068,0.12097196865539736,0.010266721543648976,0.8687613098009537
2069,0.12218851256624035,0.010320646365206897,0.8674908410685528
2070,0.12329965850392882,0.010350187960513905,0.8663501535355573
2071,0.12430008146489817,0.010353970784205848,0.8653459477508959
2072,0.1251851795832955,0.010330975609038355,0.8644838448076662
2073,0.12595132257758787,0.010280640434545291,0.8637680369878667
2074,0.12659613594893143,0.01020297480602737,0.8632008892450411
2075,0.12711882851700165,0.010098689609990826,0.8627824818730074
2076,0.12752056499670408,0.009969343330528417,0.8625100916727674
2077,0.12780489036078987,0.00981750667074318,0.862377602968467
2078,0.12797821064703224,0.009646947164268862,0.8623748421886989
2079,0.1280503342259185,0.009462834346829567,0.8624868314272519
2080,0.12803507850278037,0.009271966715734312,0.8626929547814853
2081,0.12795094246325311,0.009083020251795523,0.8629660372849514
2082,0.1278218453549814,0.008906816648424815,0.8632713379965938
2083,0.12767792550088652,0.00875660879559847,0.8635654657035151
2084,0.127556390067661,0.008648377118675924,0.863795232813663
2085,0.12750239421437218,0.008601128256649963,0.8638964775289779
2086,0.12756992169585743,0.008637182930792324,0.8637928953733501
2087,0.12782262222736399,0.00878243363509231,0.8633949441375436
2088,0.12833454506405245,0.009066548560785965,0.8625989063751616
2089,0.12919068816280943,0.0095230882795937,0.8612862235575969
2090,0.13048726055614857,0.010189496024733,0.8593232434191184
2091,0.13233153327455807,0.011106914536706246,0.8565615521887358
2092,0.13484113459344357,0.012319775601452487,0.852839089805104
2093,0.13814263277825178,0.013875107523951246,0.847982259697797
2094,0.14236925043331305,0.01582150736891259,0.8418092421977744
2095,0.147657574591445,0.018207736426120467,0.8341346889824346
2096,0.15414317562671598,0.021080919419236156,0.8247759049540478
2097,0.16195512932665337,0.024484362886564446,0.8135605077867821
2098,0.17120955574806465,0.028455052360231006,0.8003353918917043
2099,0.18200243639270267,0.03302095122090274,0.7849766123863946
