year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.14798822138107004,0.00017346422361512982,0.8518383143953149
1981,0.11930173233687742,0.00012837796323663322,0.880569889699886
1982,0.09450564360483657,9.590793625051538e-05,0.9053984484589129
1983,0.07352525908396795,7.337580420109421e-05,0.926401365111831
1984,0.05616183456490522,5.832104283364323e-05,0.9437798443922611
1985,0.04212426153844473,4.862752877608225e-05,0.9578271109327793
1986,0.031061537846161794,4.259839745685471e-05,0.9688958637563814
1987,0.02259251589912187,3.8983522647351094e-05,0.9773685005782308
1988,0.016330756948202695,3.6968853069104853e-05,0.9836322741987282
1989,0.011903575041050787,3.6138582524716085e-05,0.9880602863764245
1990,0.008965319322399906,3.6420772824260384e-05,0.9909982599047759
1991,0.007205555426994168,3.802513533009195e-05,0.9927564194376758
1992,0.00635310517650229,4.1379535217593516e-05,0.9936055152882801
1993,0.0061769679521255835,4.7069475555939225e-05,0.9937759625723185
1994,0.0064850633447663215,5.5782997299244864e-05,0.9934591536579344
1995,0.007121579464163603,6.82620579712798e-05,0.992810158477865
1996,0.007963535070116861,8.526057970513574e-05,0.991951204350178
1997,0.00891699614842713,0.00010750874170528426,0.9909754951098676
1998,0.009913248280438,0.0001356829401282082,0.9899510687794338
1999,0.010905113543778296,0.0001703807056500131,0.9889245057505717
2000,0.01186352192595085,0.00021209999522227565,0.9879243780788269
2001,0.012774387116961489,0.00026122227429245396,0.9869643906087461
2002,0.013635801993365941,0.00031799909166898747,0.986046198914965
2003,0.014455544922136304,0.00038254186090283694,0.9851619132169609
2004,0.015248876376011203,0.00045481468611132525,0.9842963089378775
2005,0.016036600354131382,0.0005346302478489804,0.9834287693980197
2006,0.016843364197275737,0.0006216486658467931,0.9825349871368774
2007,0.017696173349611894,0.0007153794154905519,0.9815884472348976
2008,0.018623099612067092,0.0008151862822067149,0.9805617141057261
2009,0.01965216664097695,0.0009202952898256545,0.9794275380691974
2010,0.020810399762547373,0.0010298055891403098,0.9781597946483124
2011,0.022123029081939957,0.0011427030404646506,0.9767342678775954
2012,0.0236128382174648,0.001257876406923736,0.9751292853756114
2013,0.025299652093876468,0.0013741356925878719,0.9733262122135357
2014,0.02719995782633698,0.0014902323455044217,0.9713098098281585
