year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.09508858817825092,0.00553678102251537,0.8993746307992337
1981,0.07602319300412755,0.00370948021903317,0.9202673267768394
1982,0.06003893007996927,0.0023188032767079707,0.9376422666433227
1983,0.04691038544180648,0.001312492721563466,0.9517771218366301
1984,0.036357309576599425,0.0006341680157292012,0.9630085224076714
1985,0.0280692511641815,0.00022694818687785982,0.9717038006489407
1986,0.02172656915965175,3.627473693027028e-05,0.9782371561034179
1987,0.017016917284550306,1.1898951023060442e-05,0.9829711837644266
1988,0.01364709739780077,0.00010910409936030677,0.9862437985028389
1989,0.011350711604660328,0.00028929239593661473,0.9883599959994029
1990,0.009892323681502713,0.0005200869421080938,0.9895875893763892
1991,0.009068929792108701,0.0007750931463304248,0.9901559770615609
1992,0.008709495648502727,0.0010334432830560653,0.9902570610684412
1993,0.008673211651702768,0.0012792217523878492,0.9900475665959094
1994,0.00884697974992826,0.0015008422177794976,0.9896521780322923
1995,0.009142517693435008,0.0016904253167295514,0.9891670569898354
1996,0.009493347329957446,0.0018432069731555193,0.988663445696887
1997,0.009851843813048088,0.0019569945140122027,0.9881911616729396
1998,0.010186450131986663,0.0020316773320737374,0.9877818725359396
1999,0.01047911274138496,0.0020687936929531625,0.9874520935656619
2000,0.010722958884919342,0.002071151074699036,0.9872058900403816
2001,0.010920214129131946,0.0020424952970447877,0.9870372905738232
2002,0.01108034937854389,0.0019872237032427997,0.9869324269182134
2003,0.01121843490938472,0.0019101371066137978,0.9868714279840016
2004,0.011353683921214752,0.0018162259501643338,0.986830090128621
2005,0.011508164188443658,0.0017104870004987082,0.9867813488110576
2006,0.011705659963719734,0.0015977673990111058,0.9866965726372693
2007,0.011970671396262862,0.0014826339589081455,0.986546694644829
2008,0.012327538820979256,0.0013692657965410553,0.9863031953824797
2009,0.012799684947905166,0.0012613697373326973,0.9859389453147621
2010,0.013408967660364134,0.0011621170189706686,0.9854289153206651
2011,0.014175140179027757,0.0010741013234571932,0.9847507584975151
2012,0.015115415038974778,0.0009993173796337485,0.9838852675813914
2013,0.01624412854073589,0.0009391595095909874,0.9828167119496731
2014,0.01757250277252772,0.000894439612676115,0.9815330576147961
2015,0.019108501055014118,0.0008654233016623756,0.9800260756433236
2016,0.020856771644671392,0.0008518833971838793,0.9782913449581447
2017,0.022818673575168036,0.0008531689083071729,0.9763281575165248
2018,0.024992376528936357,0.0008682881043280522,0.9741393353667356
2019,0.027373026680252963,0.0008960035919184344,0.9717309697278287
2020,0.029952967896737424,0.0009349374707219365,0.9691120946325407
2021,0.032722008513805904,0.000983684655715439,0.9662943068304786
2022,0.03566772243636039,0.0010409320503285693,0.9632913455133111
2023,0.03877577402639973,0.0011055818312979556,0.9601186441423024
2024,0.04203025629073973,0.0011768769179075335,0.9567928667913527
2025,0.04541403318262916,0.001254527305505758,0.953331439511865
2026,0.048909076216618275,0.0013388352522334752,0.9497520885311483
2027,0.052496789015202036,0.0014308188519987991,0.9460723921327993
2028,0.05615831257451697,0.0015323324806887342,0.9423093549447943
2029,0.059874807455310985,0.0016461834362158415,0.9384790091084732
