year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.14088964520825642,0.0043479915350316785,0.8547623632567118
1981,0.11492451505150664,0.002978981862511351,0.8820965030859821
1982,0.09211866526830065,0.0019171524664952353,0.905964182265204
1983,0.07246625953771012,0.0011327403575936157,0.9264010001046963
1984,0.055863846948461124,0.0005910068477735042,0.9435451462037653
1985,0.04212984761987004,0.0002547215819190206,0.9576154307982109
1986,0.031025913949326456,8.637230188356766e-05,0.9688877137487899
1987,0.022277790667498028,4.9956321678916076e-05,0.9776722530108232
1988,0.015593963378325061,0.00011229558617234606,0.9842937410355026
1989,0.010681101818607416,0.00024388598388454602,0.989075012197508
1990,0.007255931918728144,0.0004193377528197029,0.992324730328452
1991,0.005053642829607571,0.000617487320156928,0.9943288698502355
1992,0.0038332301587775787,0.0008212666147084864,0.9953455032265139
1993,0.0033803225861225375,0.0010174095929240247,0.9956022678209534
1994,0.0035080703172171747,0.0011960627618650133,0.9952958669209179
1995,0.004056634809885969,0.0013503515248909446,0.994593013665223
1996,0.004891739076366201,0.0014759395454470897,0.9936323213781867
1997,0.005902647017385344,0.0015706058380332883,0.9925267471445813
1998,0.006999849736218352,0.0016338543365557717,0.9913662959272258
1999,0.008112657735428703,0.0016665634267795033,0.9902207788377918
2000,0.00918683372831656,0.0016706776585595617,0.9891424886131238
2001,0.01018234970392499,0.0016489408920831738,0.9881687094039918
2002,0.011071316420200402,0.0016046676873312073,0.9873240158924684
2003,0.011836105229037048,0.0015415495136377336,0.9866223452573253
2004,0.012467667032881026,0.0014634914255595305,0.9860688415415595
2005,0.012964040348684362,0.0013744752490393059,0.9856614844022764
2006,0.01332903503076185,0.0012784458082572365,0.9853925191609809
2007,0.01357107615226191,0.001179216943888487,0.9852497069038496
2008,0.01370218946586521,0.0010803947751070774,0.9852174157590278
2009,0.013737113193184273,0.0009853158964679273,0.9852775709103477
2010,0.013692521244061132,0.0008969989440094111,0.9854104798119294
2011,0.013586343965691363,0.0008181081609856597,0.9855955478733229
2012,0.013437176256454714,0.0007509276991361472,0.9858118960444091
2013,0.01326376371693055,0.0006973459877569855,0.9860388902953124
2014,0.013084559369136776,0.0006588493452680512,0.9862565912855952
2015,0.012917344633978563,0.0006365241456473695,0.9864461312203741
2016,0.01277891057555369,0.0006310670265478463,0.9865900223978985
2017,0.012684794710754985,0.000642802423510799,0.9866724028657343
2018,0.012649070419248077,0.000671706854837996,0.986679222725914
2019,0.012684185764769535,0.0007174391201840767,0.9865983751150463
2020,0.012800848686590654,0.0007793758278011525,0.9864197754856081
2021,0.013007956231989675,0.000856651231836938,0.9861353925361734
2022,0.013312563680996396,0.0009482006343121615,0.9857392356846915
2023,0.013719891533803825,0.0010528063592373093,0.9852273021069589
2024,0.014233365292546995,0.001169145373321087,0.9845974893341319
2025,0.014854685999120144,0.001295837689776075,0.9838494763111039
2026,0.015583925508328331,0.0014314944709236529,0.982984580020748
2027,0.016419644473021165,0.0015747652523710018,0.9820055902746078
2028,0.017359026678245553,0.0017243830591509772,0.9809165902626036
2029,0.01839802709785619,0.0018792071612235533,0.9797227657409203
2030,0.019531528974001566,0.0020382623921325217,0.9784302086338659
2031,0.020753505748246352,0.0022007747235167335,0.977045719528237
2032,0.022057184568173425,0.0023662025388657797,0.9755766128929608
2033,0.02343520765568091,0.0025342631769297774,0.9740305291673892
2034,0.024879789235284985,0.0027049546893921227,0.9724152560753229
2035,0.026382864083386182,0.002878572217972387,0.9707385636986414
2036,0.02793622669344969,0.0030557191664578134,0.9690080541400925
2037,0.029531659377715926,0.00323731302470729,0.9672310275975767
2038,0.03116104627187899,0.003424585747680547,0.9654143679804403
2039,0.03281647408680419,0.003619078783703824,0.9635644471294921
2040,0.03449031769102076,0.003822632698101693,0.9616870496108776
2041,0.036175310955833664,0.004037371753109387,0.9597873172910569
2042,0.037864601707147304,0.0042656832695593255,0.9578697150232933
2043,0.03955179244681658,0.004510192085940173,0.9559380154672433
2044,0.04123096537704568,0.004773730213255517,0.9539953044096988
2045,0.042896693876415794,0.005059302061737324,0.952044004061847
2046,0.044544040264545864,0.005370045158023734,0.9500859145774304
2047,0.04616854074198892,0.005709186996489893,0.9481222722615211
2048,0.047766179036308275,0.006079998144865049,0.9461538228188267
2049,0.049333348743523284,0.006485741879449569,0.9441809093770273
2050,0.05086680728550657,0.006929621070315529,0.9422035716441779
2051,0.052363620950561275,0.007414722591141332,0.9402216564582974
2052,0.05382110312778669,0.007943959679280995,0.9382349371929323
2053,0.0552367482279242,0.00852001341422878,0.9362432383578471
2054,0.05660816090534211,0.009145272906225991,0.9342465661884319
2055,0.05793298457932883,0.009821776346474508,0.9322452390741968
2056,0.05920882833775064,0.010551152228688881,0.9302400194335605
2057,0.06043319699204607,0.01133456250457966,0.9282322405033742
2058,0.06160342422566766,0.012172648279376483,0.9262239274949559
2059,0.0627166113930108,0.013065478050671792,0.9242179105563175
2060,0.06376957488664012,0.014012500436324616,0.9222179246770352
2061,0.06475880282539923,0.015012501552744539,0.9202286956218562
2062,0.06568042461115091,0.016063566595249355,0.9182560087935998
2063,0.06653019579404154,0.01716304874238144,0.9163067554635771
2064,0.06730349844166651,0.018307542403730902,0.9143889591546026
2065,0.0679953630324724,0.019492864104367482,0.9125117728631601
2066,0.06860051177375782,0.020714039579177782,0.9106854486470644
2067,0.06911342681477961,0.02196529678976147,0.9089212763954589
2068,0.06952844737130896,0.023240065933770152,0.9072314866949209
2069,0.06983989791600739,0.024530985810343825,0.9056291162736488
2070,0.07004225162850111,0.025829915193737386,0.9041278331777615
2071,0.07013033394533878,0.027127950885638182,0.9027417151690231
2072,0.07009956888491503,0.028415449990882757,0.9014849811242022
2073,0.06994627744645267,0.0296820583258775,0.9003716642276698
2074,0.06966802983846372,0.030916743452061586,0.8994152267094747
2075,0.06926406348588786,0.032107833102888235,0.8986281034112238
2076,0.06873577165705444,0.03324306027409983,0.8980211680688457
2077,0.0680872740462227,0.034309615485707746,0.8976031104680695
2078,0.0673260797701878,0.035294208758729836,0.8973797114710824
2079,0.06646385211904676,0.03618314342390735,0.8973530044570459
2080,0.06551728979744817,0.03696240709857477,0.897520303103977
2081,0.06450913232562325,0.03761778335838086,0.8978730843159959
2082,0.06346930083128521,0.038134991915681954,0.8983957072530329
2083,0.062436179472342396,0.03849986520459709,0.8990639553230605
2084,0.06145803787350268,0.038698571663729246,0.8998433904627681
2085,0.06059458285461481,0.038717896848045295,0.9006875202973399
2086,0.05991861804777233,0.03854559746430401,0.9015357844879237
2087,0.05951776236865187,0.03817084061343058,0.9023113970179175
2088,0.05949615651033863,0.037584745208337524,0.9029190982813238
2089,0.05997604582651313,0.03678103782406777,0.9032429163494191
2090,0.06109907970840295,0.03575683278152046,0.9031440875100766
2091,0.06302711458168953,0.03451353954439994,0.9024593458739105
2092,0.06594224186027771,0.03305788756443722,0.9009998705752851
2093,0.07004570120673706,0.03140304182446799,0.8985512569687949
2094,0.07555528472702787,0.029569756748527395,0.8948749585244448
2095,0.08270081695730837,0.027587487243463535,0.8897116957992282
