year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.23252686252569182,0.007346376908328725,0.7601267605659795
1981,0.1999110196267368,0.004458913297784448,0.7956300670754788
1982,0.16945643000887997,0.002409444589854997,0.8281341254012652
1983,0.14150410129555646,0.0010825262553535438,0.8574133724490901
1984,0.11628634989966641,0.00035153732718672755,0.8833621127731468
1985,0.09392962729081203,8.748947820933943e-05,0.9059828832309786
1986,0.074464842515802,0.00016664270000747342,0.9253685147841905
1987,0.05784265207724685,0.00047638819646030826,0.9416809597262927
1988,0.043951147575722396,0.0009192017954887255,0.955129650628789
1989,0.03263374205543471,0.001414750483824233,0.965951507460741
1990,0.02370563453097232,0.0019004213609293183,0.9743939441080984
1991,0.016967864999302276,0.002330630571671736,0.9807015044290259
1992,0.01221852227620016,0.002675284929347106,0.9851061927944527
1993,0.009261088024915862,0.0029177306722607175,0.9878211813028234
1994,0.007910166377539893,0.003052461201053234,0.9890373724214068
1995,0.007995001619331227,0.0030827878293869437,0.9889222105512817
1996,0.009361225890494191,0.0030186118668937586,0.987620162242612
1997,0.011871275738727692,0.0028743878912856806,0.9852543363699866
1998,0.015403859362056148,0.0026673256084890694,0.9819288150294548
1999,0.019852798377132334,0.0024158531021029094,0.9777313485207648
2000,0.025125498601037567,0.0021383442607468724,0.9727361571382156
2001,0.031141245556422857,0.0018521048410951213,0.9670066496024821
2002,0.03782946588222609,0.0015726031708090742,0.9605979309469649
2003,0.045128055599542555,0.0013129293926624418,0.953559015007795
2004,0.052981838408388326,0.0010834653488615402,0.9459346962427501
2005,0.06134119468062564,0.0008917454334527529,0.9377670598859217
2006,0.07016087816392046,0.0007424882819461524,0.9290966335541334
2007,0.07939902279277658,0.0006377785395518792,0.9199631986676715
2008,0.08901633530760583,0.0005773766523557048,0.9104062880400384
2009,0.09897545421795395,0.0005591348771651352,0.9004654109048809
2010,0.10924045874698006,0.0005794972093956004,0.8901800440436244
2011,0.11977649837695858,0.0006340614405779949,0.8795894401824634
2012,0.13054953095778427,0.0007181823647579717,0.8687322866774577
2013,0.14152612745279083,0.0008275967543094967,0.8576462757928996
2014,0.1526733392384267,0.0009590523654613895,0.8463676083961119
2015,0.16395859599735813,0.0011109253534849874,0.8349304786491568
2016,0.17534961979077396,0.0012838129296600636,0.823366567279566
2017,0.18681434459372384,0.0014810901059775202,0.8117045653002988
2018,0.1983208275443945,0.0017094210651328317,0.7999697513904727
2019,0.2098371452908134,0.0019792180688124102,0.7881836366403743
2020,0.22133127320303103,0.0023050412851727754,0.7763636855117962
2021,0.23277094631308864,0.002705933549976324,0.764523120136935
2022,0.24412350459336393,0.0032056846799113745,0.7526708107267247
2023,0.2553557270704859,0.003833018908018425,0.7408112540214957
2024,0.26643366160624354,0.0046216986239285196,0.7289446397698279
2025,0.2773224625976562,0.005610536201926094,0.7170670012004177
