year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.08939987819048849,0.01021360762812452,0.9003865141813869
1981,0.07185538767283974,0.005966744775192071,0.9221778675519683
1982,0.05742832536371348,0.0030653244092431232,0.9395063502270433
1983,0.045793347200606536,0.0012645138015881065,0.9529421389978053
1984,0.03657307664026771,0.00032186127465071195,0.9631050620850816
1985,0.029376883548783653,1.2845379102761065e-05,0.9706102710721135
1986,0.02382985991549419,0.00014038446932716357,0.9760297556151787
1987,0.01959201606406445,0.0005392686273068549,0.9798687153086287
1988,0.016369120740782735,0.0010768349776656301,0.9825540442815517
1989,0.013917146473664592,0.0016511806191162885,0.9844316729072191
1990,0.012042276328601685,0.0021879838717539487,0.9857697397996444
1991,0.010598111445064767,0.002636714286794454,0.9867651742681408
1992,0.00948131442529461,0.002966745783070158,0.9875519397916351
1993,0.00862653807849567,0.0031636698903348037,0.9882097920311694
1994,0.008001167438712667,0.003225955494622923,0.9887728770666644
1995,0.0076001712440414365,0.0031620012849792245,0.9892378274709793
1996,0.007441197953950096,0.002987569302264488,0.9895712327437854
1997,0.007559958737698006,0.0027235617891082815,0.9897164794731937
1998,0.00800588862600789,0.002394095320516707,0.9896000160534754
1999,0.008838058979661978,0.002024827915957322,0.9891371131043808
2000,0.010121321610747141,0.0016415075019854924,0.9882371708872673
2001,0.011922678635545534,0.0012687200891516419,0.9868086012753028
2002,0.014307896599873682,0.0009288282431830365,0.9847632751569433
2003,0.01733840252717004,0.0006411014271655612,0.9820204960456643
2004,0.021068519622966617,0.00042104383732714513,0.9785104365397063
2005,0.02554310562947779,0.00027993021147103183,0.9741769641590512
2006,0.030795659989416434,0.00022455697275662105,0.9689797830378268
2007,0.036846953752753486,0.0002572118451427362,0.9628958344021037
2008,0.043704216881243284,0.00037585754364661975,0.9559199255751101
2009,0.05136089107710428,0.0005745158045433516,0.9480645931183524
2010,0.05979692959040305,0.0008438290843137719,0.9393592413252833
2011,0.06897958909075129,0.001171768975386079,0.9298486419338626
2012,0.07886464309369601,0.0015444548492643917,0.9195909020570396
2013,0.08939791433331462,0.0019470427584073983,0.908655042908278
2014,0.10051702448503337,0.0023646451508027087,0.8971183303641639
2015,0.1121532469128223,0.0027832444273963855,0.8850635086597812
2016,0.12423336342791556,0.0031905690673965713,0.8725760675046879
2017,0.13668142837043126,0.003576907484589116,0.8597416641449797
2018,0.14942037254560991,0.003935842395401708,0.8466437850589884
2019,0.16237339105496026,0.004264895706828542,0.8333617132382112
2020,0.1754650804330621,0.004566079680690273,0.8199688398862476
2021,0.18862231687140427,0.00484635672550851,0.8065313264030873
2022,0.20177487460004373,0.005118011161670835,0.7931071142382855
2023,0.21485580344913424,0.005398939920748635,0.7797452566301171
2024,0.22780159282535875,0.005712867806206759,0.7664855393684346
2025,0.24055215131052615,0.006089492233049827,0.7533583564564239
2026,0.2530506464414902,0.006564558907778683,0.7403847946507311
2027,0.26524323436650654,0.0071798671088959595,0.7275768985245975
2028,0.2770787262613007,0.007983198644285682,0.7149380750944135
2029,0.2885082218205727,0.009028160173636416,0.7024636180057909
2030,0.29948474783107043,0.010373924917087317,0.6901413272518423
2031,0.30996293231726735,0.012084855519539577,0.677952212163193
2032,0.3198987445052451,0.01422998722727578,0.6658712682674791
2033,0.3292493277042201,0.016882349444790456,0.6538683228509894
2034,0.3379729391415054,0.020118103733552287,0.6419089571249423
2035,0.3460290302311083,0.02401547801672466,0.629955491752167
2036,0.3533784624514465,0.028653485241456254,0.6179680523070973
2037,0.35998388056866415,0.03411041759687674,0.6059057018344591
2038,0.36581023373361204,0.04046212526316652,0.5937276410032215
2039,0.37082544020456215,0.04778009923411973,0.5813944605613182
2040,0.37500117883613987,0.05612939416036107,0.5688694270034991
2041,0.3783137731559308,0.06556645302479563,0.5561197738192736
2042,0.3807451359049699,0.07613690504632396,0.5431179590487061
2043,0.38228372070039357,0.08787343583128955,0.529842843468317
2044,0.3829254284141533,0.10079383371660221,0.5162807378692446
2045,0.38267440169046224,0.11489933385827825,0.5024262644512596
2046,0.38154364921729,0.13017337189797978,0.48828297888473027
2047,0.3795554429103863,0.1465808518906793,0.47386370519893434
2048,0.3767414340802831,0.1640680177471304,0.4591905481725866
2049,0.37314245988092776,0.18256297548531722,0.44429456463375505
2050,0.36880802106493543,0.2019768864258919,0.4292150925091726
2051,0.3637954440003951,0.22220579492002993,0.41399876107957495
2052,0.35816874795445885,0.24313302837373518,0.39869822367180596
2053,0.3519972725878522,0.2646320511491171,0.38337067626303073
2054,0.3453541342926118,0.2865696291103678,0.3680762365970205
2055,0.3383145803227932,0.30880915311051604,0.3528762665666908
2056,0.33095433127999996,0.33121394708049284,0.33783172163950714
2057,0.32334798499282,0.3536504096524683,0.32300160535471156
2058,0.3155675539506548,0.3759908514299134,0.3084415946194318
2059,0.3076811949854947,0.39811592123400413,0.2942028837805013
2060,0.29975216542480265,0.41991655213053786,0.2803312824446595
2061,0.2918380346024561,0.44129538885265734,0.2668665765448865
2062,0.28399014972219194,0.46216769879145914,0.2538421514863489
2063,0.2762533507698669,0.48246179091933517,0.24128485831079802
2064,0.268665908863241,0.5021189967845853,0.22921509435217371
2065,0.26125966130858513,0.5210932750083795,0.21764706368303535
2066,0.25406030565082266,0.5393505159291593,0.20658917842001806
2067,0.24708781852222914,0.5568676195101053,0.19604456196766545
2068,0.24035696158671344,0.5736314197311133,0.18601161868217317
2069,0.23387784411837262,0.5896375185844477,0.17648463729717984
2070,0.22765651271976886,0.6048890864782084,0.16745440080202287
2071,0.22169554367123595,0.619395675029063,0.15890878129970115
2072,0.21599462303588532,0.6331720733245834,0.1508333036395313
2073,0.21055109551984777,0.6462372390538959,0.1432116654262563
2074,0.2053604781078025,0.6586133146127603,0.13602620727943712
2075,0.20041692949862022,0.6703247408603407,0.1292583296410392
2076,0.1957136731717585,0.6813974726604514,0.12288885416779026
2077,0.19124337528113786,0.69185829189184,0.1168983328270221
2078,0.1869984780717458,0.7017342154064472,0.11126730652180698
2079,0.18297149194503118,0.7110519907338037,0.10597651732116527
2080,0.1791552492817058,0.7198376714740289,0.10100707924426533
2081,0.17554312621296533,0.7281162620504532,0.09634061173658151
2082,0.17212923452998563,0.7359114242991691,0.09195934117084528
2083,0.16890858904703734,0.7432452367087675,0.08784617424419519
2084,0.16587725616957516,0.7501379954885352,0.0839847483418897
2085,0.1630324841426463,0.7566080540931689,0.08035946176418482
2086,0.16037282309892129,0.762671688699732,0.07695548820134679
2087,0.15789823420075658,0.7683429879702871,0.0737587778289563
2088,0.15561019399240034,0.7736337580566878,0.0707560479509118
2089,0.15351179426050815,0.7785534401874417,0.06793476555205027
2090,0.15160784067456204,0.7831090359799431,0.0652831233454948
2091,0.1499049522046717,0.7873050365197085,0.0627900112756198
2092,0.14841166172237172,0.7911433537462902,0.06044498453133802
2093,0.14713851950561185,0.7946232511213016,0.058238229373086585
2094,0.1460982000054846,0.7977412724970238,0.05616052749749167
2095,0.14530561223831245,0.8004911680227592,0.05420321973892827
2096,0.1447780119823988,0.8028638184120336,0.052358169605567585
2097,0.14453511710825975,0.8048471557009889,0.050617727190751256
2098,0.14459922210331463,0.8064260842049361,0.048974693691749185
2099,0.14499531092615744,0.8075824022163323,0.04742228685751029
