year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.30266527835619,0.008385608119635077,0.6889491135241749
1981,0.2472233286877283,0.005710632229161607,0.74706603908311
1982,0.19545280964177408,0.00356794250535904,0.8009792478528669
1983,0.14891946313885293,0.001972364321309561,0.8491081725398375
1984,0.10877327056713483,0.0009015388537035933,0.8903251905791616
1985,0.07564301329456276,0.0003007488332502812,0.9240562378721869
1986,0.049623583617284556,9.245134239857774e-05,0.9502839650403169
1987,0.030345836470393347,0.00018784739327429322,0.9694663161363324
1988,0.017098812079672045,0.0004977805029264471,0.9824034074174015
1989,0.008968607842752685,0.0009410916450135156,0.9900903005122338
1990,0.00496494736062522,0.0014497058459496477,0.9935853467934251
1991,0.004118983356918801,0.0019706757837270003,0.9939103408593541
1992,0.005547768090186422,0.0024659342052169566,0.9919862977045967
1993,0.008488857848828553,0.0029106311806542614,0.9886005109705173
1994,0.012312220079158241,0.0032908105896615855,0.9843969693311803
1995,0.016517135164077556,0.0036009564829267626,0.9798819083529956
1996,0.020720594402837692,0.003841724240271304,0.9754376813568909
1997,0.02464193457650132,0.004018003645677558,0.9713400617778212
1998,0.028086765654821433,0.004137352746010379,0.9677758815991682
1999,0.03093192812718819,0.0042087798948889695,0.9648592919779229
2000,0.03311229545745588,0.004241825026672549,0.9626458795158715
2001,0.034609656754356205,0.004245885874754513,0.9611444573708893
2002,0.035443577337908184,0.004229737572929678,0.9603266850891622
2003,0.03566397881681696,0.004201205108327204,0.9601348160748558
2004,0.035345110724476866,0.004166957216232516,0.9604879320592907
2005,0.03458059008533928,0.004132399690797206,0.9612870102238634
2006,0.03347920749010736,0.00410165484916909,0.9624191376607235
2007,0.03216125186066902,0.004077618681451573,0.9637611294578794
2008,0.030755151816777807,0.0040620911155485676,0.9651827570676736
2009,0.029394281027864264,0.0040559775656231496,0.9665497414065126
2010,0.02821383618364707,0.0040595596489322455,0.9677266041674207
2011,0.02734773384462975,0.0040728317582398674,0.9685794343971303
2012,0.02692552159521793,0.004095898366809569,0.9689785800379725
2013,0.027069339271994806,0.004129423438096832,0.9688012372899083
2014,0.0278909896473622,0.004175119825733626,0.9679338905269042
2015,0.02948921062904502,0.004236263327059667,0.9662745260438953
2016,0.03194724198048135,0.004318212507592533,0.9637345455119262
2017,0.03533078913912492,0.004428914308268627,0.9602402965526065
2018,0.03968646968097077,0.004579372759829498,0.9557341575591998
2019,0.045040814160040195,0.0047840600919423085,0.9501751257480175
2020,0.05139986036568922,0.005061250451805855,0.943538889182505
2021,0.05874935236567384,0.005433259944649837,0.9358173876896763
2022,0.06705551898154234,0.0059265791801587754,0.9270179018382989
2023,0.07626637943853147,0.006571890854999714,0.9171617297064688
2024,0.08631349581715395,0.0074039679547331086,0.906282536228113
2025,0.09711407502244648,0.008461452578935448,0.894424472398618
2026,0.10857331179428809,0.00978651864318159,0.8816401695625303
2027,0.12058686977561031,0.011424425580671551,0.8679887046437181
2028,0.13304339278543756,0.013422970988110567,0.8535336362264518
2029,0.14582696580546864,0.015831850361061484,0.83834118383347
2030,0.15881944550864135,0.01870193672691725,0.8224786177644414
2031,0.17190261710076996,0.022084487121517518,0.8060128957777125
2032,0.18496013591806099,0.026030289926831412,0.7890095741551076
2033,0.19787923961811565,0.030588762593082148,0.7715319977888021
2034,0.21055222726308884,0.03580701424556648,0.7536407584913447
2035,0.2228777146037138,0.041728885048793934,0.7353934003474923
2036,0.23476167474119425,0.04839398179964163,0.716844343459164
2037,0.24611829116642792,0.05583672689972901,0.6980449819338431
2038,0.256870634173959,0.06408544301763607,0.679043922808405
2039,0.26695118217387476,0.07316149871757902,0.6598873191085461
2040,0.27630220231287267,0.08307854131088165,0.6406192563762457
2041,0.28487600010144887,0.09384184317845168,0.6212821567200995
2042,0.2926350453179562,0.10544779060466124,0.6019171640773826
2043,0.2995519766922134,0.11788354133532064,0.5825644819724659
2044,0.3056094838382441,0.13112687174213697,0.563263644419619
2045,0.3108000705220365,0.1451462302416701,0.5440536992362934
2046,0.3151256955448711,0.15990100770307966,0.5249732967520492
2047,0.3185972881765115,0.17534202981522087,0.5060606820082676
2048,0.3212341517589655,0.19141225639364973,0.4873535918473847
2049,0.3230632520798672,0.2080476785703352,0.46888906934979757
2050,0.3241184117111485,0.2251783824293361,0.4507032058595154
2051,0.32443941813548727,0.24272975038609781,0.4328308314784149
2052,0.32407107157268134,0.26062375662964016,0.41530517179767845
2053,0.3230621940102269,0.2787803130808038,0.39815749290896923
2054,0.3214646207608324,0.2971186259588244,0.3814167532803432
2055,0.31933220743807134,0.3155585100962233,0.36510928246570534
2056,0.3167198700454498,0.3340216287794404,0.34925850117510987
2057,0.31368268437374225,0.35243261824001404,0.3338846973862436
2058,0.31027506554037776,0.3707200714107452,0.31900486304887704
2059,0.3065500393227105,0.3888173599102347,0.3046326007670547
2060,0.3025586223155078,0.40666327970543165,0.2907780979790605
2061,0.29834931051524827,0.4242025219938963,0.27744816749085544
2062,0.2939676841288055,0.4413859663963849,0.2646463494748096
2063,0.28945612519665526,0.45817080891169204,0.25237306589165276
2064,0.28485363826926535,0.4745205404777401,0.2406258212529945
2065,0.2801957735576154,0.4904047896183074,0.22939943682407732
2066,0.27551463434621526,0.5057990549723931,0.2186863106813917
2067,0.27083896311587063,0.5206843430380432,0.2084766938460861
2068,0.26619429025994185,0.5350467371129476,0.19875897262711065
2069,0.26160313574180966,0.548876913487148,0.18951995077104228
2070,0.2570852513523087,0.5621696246718648,0.18074512397582645
2071,0.2526578927476003,0.5749231653532546,0.17241894189914492
2072,0.24833611218046223,0.5871388344251777,0.16452505339436013
2073,0.2441330638128664,0.5988204044181701,0.15704653176896363
2074,0.24006031501947692,0.6099736055981326,0.14996607938239062
2075,0.23612815771130283,0.6206056332525124,0.1432662090361847
2076,0.23234591618767605,0.6307246804240347,0.1369294033882891
2077,0.22872224660044302,0.6403395015373082,0.13093825186224878
2078,0.22526543001558652,0.6494590030333303,0.1252755669510832
2079,0.22198365227380512,0.6580918675255917,0.11992448020060326
2080,0.2188852748033029,0.6662462049219873,0.1148685202747098
2081,0.21597909353386874,0.6739292323038376,0.11009167416229368
2082,0.213274587098192,0.6811469791921059,0.1055784337097022
2083,0.21078215468791908,0.6879040166937839,0.10131382861829712
2084,0.20851334360692528,0.6942032080272483,0.0972834483658265
2085,0.20648106778110376,0.7000454783388593,0.093473453880037
2086,0.20469981652293817,0.7054296026795339,0.08987058079752788
2087,0.20318585420523846,0.7103520098209687,0.0864621359737929
2088,0.20195740960159994,0.7148066026174732,0.08323598778092682
2089,0.2010348542724432,0.7187845936395574,0.08018055208799946
2090,0.20044086813831455,0.7222743574836243,0.07728477437806108
2091,0.2002005890120795,0.7252613017279036,0.0745381092600169
